Rank,Team,Country,"Value in
$ millions","% change
on year","Debt as
% of value",Revenue ($M),"Operating
income ($M)"
1,Barcelona,Spain,"4,760",18,6,792,62
2,Real Madrid,Spain,"4,750",12,6,790,92
3,Bayern Munich,Germany,"4,215",39,0,703,49
4,Manchester United,England,"4,200",10,16,643,167
5,Liverpool,England,"4,100",88,2,619,62
6,Manchester City,England,"4,000",49,0,609,-2
7,Chelsea,England,"3,200",24,0,520,35
8,Arsenal,England,"2,800",23,7,430,47
9,Paris Saint-Germain,France,"2,500",129,0,599,-5
10,Tottenham Hotspur,England,"2,300",42,39,494,134
11,Juventus,Italy,"1,950",29,16,441,-14
12,Borussia Dortmund,Germany,"1,900",112,0,405,15
13,Atlético Madrid,Spain,"1,000",5,26,368,62
14,Internazionale,Italy,743,11,8,323,13
15,Everton,England,658,38,0,235,15
16,Milan,Italy,559,-4,4,165,-92
17,Roma,Italy,548,-12,56,156,-108
18,West Ham United,England,508,-18,18,175,-24
19,Leicester City,England,455,-,17,189,-49
20,Ajax,Netherlands,413,-,2,172,2
